2026-03-22 13:53:08.749 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 37 at [y:925.0, x:365.5] and corresponding myelinated axon 37 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:53:08.749 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 37 at [y:925.0, x:365.5] and corresponding myelinated axon 37 have unexpected measure values for area attribute.
2026-03-22 13:53:08.752 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 38 at [y:922.0, x:370.5] and corresponding myelinated axon 38 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:53:08.752 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 38 at [y:922.0, x:370.5] and corresponding myelinated axon 38 have unexpected measure values for area attribute.
2026-03-22 13:53:08.755 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 39 at [y:948.0, x:377.5] and corresponding myelinated axon 39 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:53:08.755 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 39 at [y:948.0, x:377.5] and corresponding myelinated axon 39 have unexpected measure values for area attribute.
2026-03-22 13:53:09.267 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 85 at [y:838.0, x:1577.0] and corresponding myelinated axon 85 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:53:09.267 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 85 at [y:838.0, x:1577.0] and corresponding myelinated axon 85 have unexpected measure values for area attribute.
2026-03-22 13:53:09.320 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 88 at [y:837.5, x:1657.5] and corresponding myelinated axon 88 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:53:09.321 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 88 at [y:837.5, x:1657.5] and corresponding myelinated axon 88 have unexpected measure values for area attribute.
