axon_id,reasons,category,gratio,axon_diam,myelin_thickness,solidity,eccentricity,sample,slice_id
493,border-touching,border,0.7136078375279576,0.3295272716439041,0.0661245735798917,0.9230769230769232,0.8795517953486299,sample1,1
494,border-touching,border,0.3803310320595318,0.3483723694372439,0.2837995435964876,0.8864696734059098,0.9904089888803262,sample1,1
495,border-touching,border,0.5716558850640671,0.3621567887584603,0.1356827885462918,0.9476923076923076,0.9855080281175108,sample1,1
0,border-touching,border,0.8621239655402017,0.979494198947261,0.0783232930096104,0.9348547717842324,0.946950691534588,sample1,3
1,border-touching,border,0.8237046356341506,0.6632411033764976,0.0709758856050074,0.951416071839742,0.9351520487608888,sample1,3
2,border-touching,border,0.9264357306865608,1.162218707414608,0.0461433897470712,0.8908861115011937,0.7421538792515018,sample1,3
3,border-touching,border,0.5758143519455575,0.1822504350574638,0.0671292914477092,0.899135446685879,0.9760014835468714,sample1,3
4,border-touching,border,0.8701292907505146,1.076824908970114,0.0803604798459536,0.9511002444987776,0.5584725633233739,sample1,3
5,border-touching,border,0.9097756780201705,1.017870029008027,0.050472130355634,0.9773046796545491,0.6164311587491268,sample1,3
6,border-touching,border,0.8739485157779334,0.3143151140186466,0.0226671742786881,0.8812915479582146,0.7456127263154639,sample1,3
7,border-touching,border,0.6384206449762232,0.638377014361254,0.1807773220768441,0.7801100468718157,0.9747355112569256,sample1,3
8,border-touching,border,0.8628341027123356,1.251319139364638,0.0994619429184764,0.966487054803522,0.6722766272443182,sample1,3
9,border-touching,border,0.8901280413899693,0.99694614466028,0.061528465821332,0.9609881626351005,0.802226381888436,sample1,3
22,border-touching,border,0.7585712923664908,0.4581890774163861,0.0729133819890088,0.9671407552721922,0.8798576266410699,sample1,3
30,border-touching,border,0.8661219949679781,1.245520436941649,0.0962611458276874,0.9745853397538792,0.5452154352125702,sample1,3
44,gratio=1.000; no myelin; tiny axon (0.0146 um),invalid,1.0,0.0145917128479628,0.0,1.0,1.0,sample1,3
49,border-touching,border,0.878770896211158,0.8430424448681396,0.0581501279161395,0.9593332375341284,0.9203262600902464,sample1,3
54,border-touching,border,0.912031507453682,1.029465765482598,0.0496477099625556,0.9542753067484664,0.8803274764105974,sample1,3
73,border-touching,border,0.7459668513027429,0.4732756323718216,0.0805851485780741,0.9546279491833032,0.759012908464524,sample1,3
89,tiny axon (0.0103 um); very low gratio (0.093); myelin>>axon (mt/ad=4.89),artifact,0.0928476690885259,0.0103178991039213,0.0504046375860412,1.0,0.0,sample1,3
97,border-touching,border,0.8798979997577723,1.088232687573588,0.0742693599386198,0.9627834516184872,0.8804155083718801,sample1,3
119,border-touching,border,0.7850665448029142,0.6026925012198251,0.0825017844449547,0.9635696131036432,0.6706083762967179,sample1,3
122,border-touching,border,0.8113542159997235,0.6469906899054528,0.0752150315677508,0.9656188605108056,0.5913298654633471,sample1,3
135,border-touching,border,0.7874366623260194,0.611460673484795,0.082529889596692,0.955386289445049,0.7966047383087886,sample1,3
145,border-touching,border,0.6819052539316609,0.4353126400821465,0.1015321871395538,0.9442970822281168,0.9375634346663928,sample1,3
161,border-touching; very low gratio (0.237); myelin>>axon (mt/ad=1.61),border,0.2365249583956331,0.0505471760442542,0.0815802010813984,0.8571428571428571,0.9018915534279224,sample1,3
165,border-touching,border,0.8494311379821317,0.6393768223573741,0.0566674779380266,0.9619238476953909,0.5307094452165944,sample1,3
171,border-touching; tiny axon (0.0292 um); very low gratio (0.293); myelin>>axon (mt/ad=1.20),border,0.2932942300427066,0.0291834256959256,0.0351593949247271,1.0,0.8944271909999159,sample1,3
175,border-touching,border,0.8405941294003153,0.7860586996504413,0.0745320285841313,0.9445077298616762,0.6494623523323403,sample1,3
184,border-touching,border,0.8590112342392735,0.870625280164293,0.0714474845018496,0.9754760926154268,0.6657140534775032,sample1,3
196,low solidity (0.663),merge_error,0.8073172255088883,0.4759672690458835,0.0567996637931941,0.6629283489096574,0.84416597467208,sample1,3
203,border-touching,border,0.8229221730726044,0.5054717604425426,0.0543841470318685,0.963855421686747,0.7799434420322915,sample1,3
223,border-touching,border,0.676245701586795,0.3668299728555977,0.0878103773673717,0.865160848733744,0.9658635201824604,sample1,3
224,tiny axon (0.0206 um); very low gratio (0.183); myelin>>axon (mt/ad=2.23),artifact,0.1833396994056423,0.0206357982078427,0.0459595963723466,1.0,0.0,sample1,3
234,border-touching,border,0.8427953808926898,0.5984381480274392,0.0558126226441173,0.9625178826895564,0.7086388308659973,sample1,3
247,tiny axon (0.0292 um); myelin>>axon (mt/ad=1.07),artifact,0.318222913670292,0.0291834256959256,0.0312620337589869,1.0,0.8944271909999159,sample1,3
248,border-touching,border,0.7984999560654417,0.4991133719805162,0.0629751859210855,0.9390048154093098,0.7888584028828673,sample1,3
